FAIL,DIMENSIOON,SKOORID,VASTAJAID,STD,KESKMINE SKOOR
www_epl_ee.ela_495381.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0,1,nan,0.5
www_epl_ee.ela_679018.txt,form,2.0 | 3.0 | 2.0 | 2.0 | 1.0 | 0.5 | 0.5 | 1.0 | 1.0 | 1.0,10,0.81,1.4
www_epl_ee.ela_679018.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 2.0,1,nan,2.0
valitsus_ee.ela_604239.txt,form,3.0 | 3.0 | 2.0 | 2.0 | 3.0 | 0.5 | 1.0 | 2.0 | 1.0 | 3.0,10,0.96,2.05
valitsus_ee.ela_604239.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 0.0 | 0.5 | 0.5 | 0.5 | 0.5,5,0.0,0.5
sport_autonet_ee.ela_515760.txt,form,2.0 | 2.0 | 0.0 | 0.0 | 0.0 | 2.0 | 2.0 | 2.0 | 0.0 | 1.0,6,0.41,1.83
sport_autonet_ee.ela_515760.txt,spont,0.0 | 0.0 | 0.0 | 0.0 | 2.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0,1,nan,2.0
www_politsei_ee.ela_163441.txt,form,3.0 | 1.0 | 2.0 | 1.0 | 1.0 | 2.0 | 3.0 | 3.0 | 3.0 | 1.0,10,0.94,2.0
www_politsei_ee.ela_163441.txt,spont,0.0 | 0.0 | 0.0 | 1.0 | 2.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5,3,0.76,1.17
arvamusaed_ee.ela_6007.txt,form,0.0 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0 | 2.0 | 1.0 | 0.0,4,0.63,1.12
arvamusaed_ee.ela_6007.txt,spont,0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0,2,0.0,1.0
stiimul_ee.ela_330566.txt,form,0.5 | 1.0 | 0.0 | 0.0 | 2.0 | 1.0 | 2.0 | 2.0 | 2.0 | 0.0,7,0.65,1.5
stiimul_ee.ela_330566.txt,spont,0.0 | 0.0 | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 1.0,2,0.0,1.0
